dbid		experiment	session	condition	lm_scenarios	tm_scenarios	ls_n	lt_n	ts_n	tt_n	d_n	ls_t	lt_t	ts_t	tt_t	d_t	draw_t	totalTime	TOTAL_T_M	LM_T_M	TM_T_M	D_T_M	DIFF_T_M	subject	linear_score	triangular_score	linear_time	triangular_time	score_diff	time_diff	totalScore	AGE	COUNTRY	LANGUAGE	EDUCATION	MAJOR	GENDER	PREFERENCE			
58e45eadd46cc6fa347e9e5b		reverse	charlie	4	axis	longmire	5	9	5	9	1	122113	298163	177209	524138	195943	587052	2286920	38.12	7	11.69	13.05	-4.68	9Y23Q	14	14	420276	701347	0	-281071	29	18	New Zealand	English	First	Biomedical & Health Sciences	Female	the first one (linear			
58e45eadd46cc6fa347e9e5c		reverse	charlie	4	axis	longmire	3	5	3	2	2	131108	441533	151933	483001	340043	312420	2326358	38.77	9.54	10.58	10.87	-1.04	TV3HJ	8	5	572641	634934	-3	-62293	15	24	USA	English	Fourth	Social Sciences (incl. CogSci)	Female	the first one (linear			
58e45eadd46cc6fa347e9e5d		experiment	charlie	4	longmire	axis	4	9	4	5	0	130433	458970	188322	257018	167620	670732	2254936	37.58	9.82	7.42	13.97	2.4	V4A35	13	9	589403	445340	-4	144063	22	18	France	Other	Second	Social Sciences (incl. CogSci)	Male	the second one (triangular)			
58e45eadd46cc6fa347e9e5e		experiment	charlie	4	axis	longmire	3	5	4	9	2	137987	286207	192372	362036	190118	76132	2223818	37.06	7.07	9.24	4.44	-2.17	PXA6H	8	13	424194	554408	5	-130214	23	21	Canada	English	Fourth	Biomedical & Health Sciences	Male	the first one (linear			
58e45eadd46cc6fa347e9e5f		reverse	charlie	2	axis	longmire	5	6	3	9	2	145342	312988	335384	348567	77259	817617	2593594	43.23	7.64	11.4	14.91	-3.76	WUQMM	11	12	458330	683951	1	-225621	25	20	Sri Lanka	English	Third	Biomedical & Health Sciences	Female	the second one (triangular)			
58e45eadd46cc6fa347e9e60		reverse	charlie	3	longmire	axis	5	5	0	1	1	119206	307767	307842	462330	126074	423877	2307572	38.46	7.12	12.84	9.17	-5.72	OZWVZ	10	1	426973	770172	-9	-343199	12	30	Korea	Other	Fourth	Fine Arts	Male	the second one (triangular)			
58e45eadd46cc6fa347e9e61		reverse	charlie	2	axis	longmire	3	6	2	1	1	229865	298062	168153	754817	87280	527171	2806047	46.77	8.8	15.38	10.24	-6.58	DZ413	9	3	527927	922970	-6	-395043	13	19	USA	English	Second	Biomedical & Health Sciences	Female	the first one (linear			
58e45eadd46cc6fa347e9e62		reverse	charlie	0	longmire	axis	4	7	3	3	1	98072	465366	225307	282869	513921	247170	2244545	37.41	9.39	8.47	12.68	0.92	8UFM6	11	6	563438	508176	-5	55262	18	20	China	Mandarin or Cantonese	Second	Social Sciences (incl. CogSci)	Female	the first one (linear			
58e45eadd46cc6fa347e9e63		reverse	charlie	0	longmire	axis	3	6	1	1	0	126349	472693	215449	500517	14592	963379	2771793	46.2	9.98	11.93	16.3	-1.95	T8OEA	9	2	599042	715966	-7	-116924	11	24	USA	Spanish	Third	Social Sciences (incl. CogSci)	Male	the first one (linear			
58e45eadd46cc6fa347e9e64		reverse	charlie	3	longmire	axis	4	9	3	9	2	130543	344149	124534	302877	662790	88748	2185466	36.42	7.91	7.12	12.53	0.79	GEDKA	13	12	474692	427411	-1	47281	27	20	China	Mandarin or Cantonese	Second	Social Sciences (incl. CogSci)	Male	the first one (linear			
58e45eadd46cc6fa347e9e65		experiment	charlie	4	longmire	axis	3	6	3	7	1	107588	404323	185770	245387	136327	368981	1968603	32.81	8.53	7.19	8.42	1.35	QV2H9	9	10	511911	431157	1	80754	20	21	USA	Mandarin or Cantonese	Fourth	Social Sciences (incl. CogSci)	Male	the second one (triangular)			
58e45eadd46cc6fa347e9e66		experiment	charlie	3	longmire	axis	4	4	0	4	0	151244	459893	226316	328928	521230	193388	2341864	39.03	10.19	9.25	11.91	0.93	E1YEU	8	4	611137	555244	-4	55893	12	17	USA	English	Second	Biomedical & Health Sciences	Female	the first one (linear			
58e45eadd46cc6fa347e9e67		reverse	charlie	3	longmire	axis	3	4	0	1	0	111759	365167	236672	407354	109830	516442	2220700	37.01	7.95	10.73	10.44	-2.79	MMVNP	7	1	476926	644026	-6	-167100	8	19	Korea	Other	First	Social Sciences (incl. CogSci)	Male	the first one (linear			
58e45eadd46cc6fa347e9e68		experiment	charlie	2	longmire	axis	5	8	3	9	2	103450	385941	214890	241539	76750	500211	1983076	33.05	8.16	7.61	9.62	0.55	6T9O9	13	12	489391	456429	-1	32962	27	18	USA	Other	First	Biomedical & Health Sciences	Female	the first one (linear			
58e45eadd46cc6fa347e9e69		experiment	charlie	2	longmire	axis	4	8	1	0	1	135190	370858	182948	371731	224342	375129	2166739	36.11	8.43	9.24	9.99	-0.81	WKKMG	12	1	506048	554679	-11	-48631	14	21	USA	English	Third	Math or Computer Sciences	Female	the first one (linear			
58e45eadd46cc6fa347e9e6a		experiment	charlie	3	longmire	axis	4	7	5	10	1	145449	712987	204583	396216	221723	629081	2735413	45.59	14.31	10.01	14.18	4.29	X309N	11	15	858436	600799	4	257637	27	18	USA	English	First	Fine Arts	Female	the second one (triangular)			
58e45eadd46cc6fa347e9e6b		reverse	charlie	2	longmire	axis	4	4	1	4	2	96103	418957	233817	349219	102199	348020	2041610	34.03	8.58	9.72	7.5	-1.13	QEHR1	8	5	515060	583036	-3	-67976	15	18	USA	English	First	Social Sciences (incl. CogSci)	Female	the first one (linear			
58e45eadd46cc6fa347e9e6c		reverse	charlie	3	longmire	axis	4	4	1	0	0	107634	321124	121967	347333	72450	765484	2230762	37.18	7.15	7.82	13.97	-0.68	B7CJ3	8	1	428758	469300	-7	-40542	9	22	Philippines	Other	Fourth	Social Sciences (incl. CogSci)	Female	the second one (triangular)			
58e45eadd46cc6fa347e9e6d		experiment	charlie	0	longmire	axis	3	4	4	6	2	119121	275488	141251	176318	101999	574094	1756500	29.28	6.58	5.29	11.27	1.28	UWWFF	7	10	394609	317569	3	77040	19	23	China	Mandarin or Cantonese	Fourth	Natural Sciences	Female	the second one (triangular)			
58e45e88d46cc6fa347e9790		experiment	delta	2	axis	longmire	4	7	3	4	0	208871	537416	267185	430510	655200	228909	3139682	52.33	12.44	11.63	14.74	0.81	1Y39Q	11	7	746287	697695	-4	48592	18	29	China	Mandarin or Cantonese	Fifth	Social Sciences (incl. CogSci)	Female	the second one (triangular)			
58e45e88d46cc6fa347e9791		reverse	delta	0	longmire	axis	4	8	2	7	1	129068	319840	240325	373193	242485	920960	2473946	41.23	7.48	10.23	19.39	-2.74	OQWZ1	12	9	448908	613518	-3	-164610	22	22	China	Mandarin or Cantonese	Third	Math or Computer Sciences	Male	the first one (linear			
58e45e88d46cc6fa347e9792		reverse	delta	2	longmire	axis	4	5	1	0	0	147944	609497	196689	516331	567030	68424	3314636	55.24	12.62	11.88	10.59	0.74	X3K4N	9	1	757441	713020	-8	44421	10	19	USA	English	Second	Humanities	Female	the first one (linear			
58e45e88d46cc6fa347e9793		reverse	delta	3	longmire	axis	4	8	1	0	1	139603	398438	230466	471089	156602	608369	2749690	45.83	8.97	11.69	12.75	-2.73	BAC71	12	1	538041	701555	-11	-163514	14	20	USA	English	Third	Social Sciences (incl. CogSci)	Female	the second one (triangular)			
58e45e88d46cc6fa347e9794		reverse	delta	3	axis	longmire	4	7	2	0	2	165661	237170	120771	445369	113303	857402	2808931	46.82	6.71	9.44	16.18	-2.72	192S2	11	2	402831	566140	-9	-163309	15	20	USA	Spanish	Third	Social Sciences (incl. CogSci)	Female	the first one (linear			
58e45e88d46cc6fa347e9795		experiment	delta	4	axis	longmire	4	7	3	5	1	181935	357071	182958	547898	198035	547716	2331455	38.86	8.98	12.18	12.43	-3.2	0ZEZO	11	8	539006	730856	-3	-191850	20	22	Mexico	Spanish	Third	Biomedical & Health Sciences	Male	the first one (linear			
58e45e88d46cc6fa347e9796		experiment	delta	3	longmire	axis	4	9	4	9	2	93738	335385	149287	318924	80029	771143	2082716	34.71	7.15	7.8	14.19	-0.65	JE4L8	13	13	429123	468211	0	-39088	28	22	Australia	Mandarin or Cantonese	Fifth	Social Sciences (incl. CogSci)	Male	the second one (triangular)			
58e45e88d46cc6fa347e9797		experiment	delta	3	axis	longmire	5	10	4	10	2	180947	393374	111402	325970	94795	512361	2714978	45.25	9.57	7.29	10.12	2.28	DRWFW	15	14	574321	437372	-1	136949	31	20	Brazil	Other	Third	Engineering	Female	the second one (triangular)			
58e45e88d46cc6fa347e9798		reverse	delta	2	longmire	axis	5	7	1	8	1	197664	459081	453364	379191	465736	532799	3221835	53.7	10.95	13.88	16.64	-2.93	93LO6	12	9	656745	832555	-3	-175810	22	18	USA	English	First	Humanities	Female	the first one (linear			
58e45e88d46cc6fa347e9799		experiment	delta	4	longmire	axis	5	9	4	9	2	110593	312788	128905	263297	191924	601550	2217266	36.95	7.06	6.54	13.22	0.52	E6RYY	14	13	423381	392202	-1	31179	29	19	USA	Other	First	Social Sciences (incl. CogSci)	Female	the first one (linear			
58e45e88d46cc6fa347e979a		reverse	delta	2	axis	longmire	4	8	2	1	1	128381	261839	219049	595603	94214	984765	3016830	50.28	6.5	13.58	17.98	-7.07	WA9MH	12	3	390220	814652	-9	-424432	16	20	USA	English	Second	Social Sciences (incl. CogSci)	Female	the first one (linear			
58e45e88d46cc6fa347e979b		reverse	delta	0	longmire	axis	4	5	1	0	2	93441	462925	325352	454494	113131	755693	3066958	51.12	9.27	13	14.48	-3.72	JO52X	9	1	556366	779846	-8	-223480	12	18	Canada	English	First	Social Sciences (incl. CogSci)	Female	the first one (linear			
58e45e88d46cc6fa347e979c		experiment	delta	3	axis	longmire	4	4	1	1	0	309409	536683	129044	535535	57978	460773	2506073	41.77	14.1	11.08	8.65	3.03	GJP2D	8	2	846092	664579	-6	181513	10	20	USA	English	Third	Biomedical & Health Sciences	Male	the first one (linear			
58e45e88d46cc6fa347e979d		reverse	delta	2	axis	longmire	4	2	1	2	0	194559	238516	188112	432841	76154	466621	2732614	45.54	7.22	10.35	9.05	-3.13	MW095	6	3	433075	620953	-3	-187878	9	19	USA	English	First	Biomedical & Health Sciences	Female	the first one (linear			
58e45e88d46cc6fa347e979e		experiment	delta	4	longmire	axis	5	8	5	9	0	130632	377094	213892	278045	285934	756662	2883127	48.05	8.46	8.2	17.38	0.26	K7BFC	13	14	507726	491937	1	15789	27	18	China	Mandarin or Cantonese	First	Math or Computer Sciences	Male	the second one (triangular)			
